gene_id_1,gene_id_2
ENSG00000186827,ENSG00000186827
ENSG00000186891,ENSG00000186891
ENSG00000160072,ENSG00000160072
ENSG00000260179,ENSG00000260179
ENSG00000234396,ENSG00000234396
ENSG00000225972,ENSG00000225972
ENSG00000224315,ENSG00000224315
ENSG00000198744,ENSG00000198744
ENSG00000279928,ENSG00000279928
ENSG00000228037,ENSG00000228037
ENSG00000142611,ENSG00000142611
ENSG00000225630,ENSG00000225630
ENSG00000131584,ENSG00000131584
ENSG00000227589,ENSG00000227589
ENSG00000237402,ENSG00000237402
ENSG00000284616,ENSG00000284616
ENSG00000169972,ENSG00000169972
ENSG00000157911,ENSG00000157911
ENSG00000269896,ENSG00000269896
ENSG00000237973,ENSG00000237973
ENSG00000224051,ENSG00000224051
ENSG00000228463,ENSG00000228463
ENSG00000260972,ENSG00000260972
ENSG00000157933,ENSG00000157933
ENSG00000162591,ENSG00000162591
ENSG00000224340,ENSG00000224340
ENSG00000270035,ENSG00000270035
ENSG00000169962,ENSG00000169962
ENSG00000226545,ENSG00000226545
ENSG00000233653,ENSG00000233653
ENSG00000268663,ENSG00000268663
ENSG00000226374,ENSG00000226374
ENSG00000116285,ENSG00000116285
ENSG00000229280,ENSG00000229280
ENSG00000142655,ENSG00000142655
ENSG00000232596,ENSG00000232596
ENSG00000235054,ENSG00000235054
ENSG00000232663,ENSG00000232663
ENSG00000284646,ENSG00000284646
ENSG00000240409,ENSG00000240409
ENSG00000229344,ENSG00000229344
ENSG00000231510,ENSG00000231510
ENSG00000149527,ENSG00000149527
ENSG00000284739,ENSG00000284739
ENSG00000171621,ENSG00000171621
ENSG00000272235,ENSG00000272235
ENSG00000236679,ENSG00000236679
ENSG00000284694,ENSG00000284694
ENSG00000162441,ENSG00000162441
ENSG00000230021,ENSG00000230021
ENSG00000271264,ENSG00000271264
ENSG00000287356,ENSG00000287356
ENSG00000224387,ENSG00000224387
ENSG00000285629,ENSG00000285629
ENSG00000173673,ENSG00000173673
ENSG00000227372,ENSG00000227372
ENSG00000142583,ENSG00000142583
ENSG00000223663,ENSG00000223663
ENSG00000284674,ENSG00000284674
ENSG00000272161,ENSG00000272161
ENSG00000237094,ENSG00000237094
ENSG00000224338,ENSG00000224338
ENSG00000074800,ENSG00000074800
ENSG00000116786,ENSG00000116786
ENSG00000287727,ENSG00000287727
ENSG00000176022,ENSG00000176022
ENSG00000223989,ENSG00000223989
ENSG00000228423,ENSG00000228423
ENSG00000286448,ENSG00000286448
ENSG00000162496,ENSG00000162496
ENSG00000237365,ENSG00000237365
ENSG00000131686,ENSG00000131686
ENSG00000229305,ENSG00000229305
ENSG00000284703,ENSG00000284703
ENSG00000226457,ENSG00000226457
ENSG00000162494,ENSG00000162494
ENSG00000173614,ENSG00000173614
ENSG00000248527,ENSG00000248527
ENSG00000237728,ENSG00000237728
ENSG00000215720,ENSG00000215720
ENSG00000279804,ENSG00000279804
ENSG00000241326,ENSG00000241326
ENSG00000285701,ENSG00000285701
ENSG00000233623,ENSG00000233623
ENSG00000162592,ENSG00000162592
ENSG00000116254,ENSG00000116254
ENSG00000049245,ENSG00000049245
ENSG00000233645,ENSG00000233645
ENSG00000234064,ENSG00000234064
ENSG00000204624,ENSG00000204624
ENSG00000284708,ENSG00000284708
ENSG00000171603,ENSG00000171603
ENSG00000280113,ENSG00000280113
ENSG00000142606,ENSG00000142606
ENSG00000235146,ENSG00000235146
ENSG00000162572,ENSG00000162572
ENSG00000225931,ENSG00000225931
ENSG00000236601,ENSG00000236601
ENSG00000171729,ENSG00000171729
ENSG00000228150,ENSG00000228150
ENSG00000175262,ENSG00000175262
ENSG00000279457,ENSG00000279457
ENSG00000162571,ENSG00000162571
ENSG00000231181,ENSG00000231181
ENSG00000238173,ENSG00000238173
ENSG00000158109,ENSG00000158109
ENSG00000229393,ENSG00000229393
ENSG00000269978,ENSG00000269978
ENSG00000037637,ENSG00000037637
ENSG00000184163,ENSG00000184163
ENSG00000287586,ENSG00000287586
ENSG00000159423,ENSG00000159423
ENSG00000142599,ENSG00000142599
ENSG00000227169,ENSG00000227169
ENSG00000283356,ENSG00000283356
ENSG00000011021,ENSG00000011021
ENSG00000272482,ENSG00000272482
ENSG00000284747,ENSG00000284747
ENSG00000215912,ENSG00000215912
ENSG00000120952,ENSG00000120952
ENSG00000243073,ENSG00000243073
ENSG00000142615,ENSG00000142615
ENSG00000215704,ENSG00000215704
ENSG00000157916,ENSG00000157916
ENSG00000157881,ENSG00000157881
ENSG00000116213,ENSG00000116213
ENSG00000283611,ENSG00000283611
ENSG00000238290,ENSG00000238290
ENSG00000225387,ENSG00000225387
ENSG00000048707,ENSG00000048707
ENSG00000158748,ENSG00000158748
ENSG00000235643,ENSG00000235643
ENSG00000225196,ENSG00000225196
ENSG00000130762,ENSG00000130762
ENSG00000162444,ENSG00000162444
ENSG00000279169,ENSG00000279169
ENSG00000279625,ENSG00000279625
ENSG00000180758,ENSG00000180758
ENSG00000231219,ENSG00000231219
ENSG00000184677,ENSG00000184677
ENSG00000230679,ENSG00000230679
ENSG00000270136,ENSG00000270136
ENSG00000132879,ENSG00000132879
ENSG00000187545,ENSG00000187545
ENSG00000288398,ENSG00000288398
ENSG00000224621,ENSG00000224621
ENSG00000239810,ENSG00000239810
ENSG00000285833,ENSG00000285833
ENSG00000116721,ENSG00000116721
ENSG00000215785,ENSG00000215785
ENSG00000131697,ENSG00000131697
ENSG00000284692,ENSG00000284692
ENSG00000284745,ENSG00000284745
ENSG00000280222,ENSG00000280222
ENSG00000188807,ENSG00000188807
ENSG00000227634,ENSG00000227634
ENSG00000198793,ENSG00000198793
ENSG00000078900,ENSG00000078900
ENSG00000285945,ENSG00000285945
ENSG00000171819,ENSG00000171819
ENSG00000229162,ENSG00000229162
ENSG00000197921,ENSG00000197921
ENSG00000233755,ENSG00000233755
ENSG00000116288,ENSG00000116288
ENSG00000238164,ENSG00000238164
ENSG00000233929,ENSG00000233929
ENSG00000271742,ENSG00000271742
ENSG00000226396,ENSG00000226396
ENSG00000232423,ENSG00000232423
ENSG00000229247,ENSG00000229247
ENSG00000169504,ENSG00000169504
ENSG00000224311,ENSG00000224311
ENSG00000225159,ENSG00000225159
ENSG00000272088,ENSG00000272088
ENSG00000228338,ENSG00000228338
ENSG00000181773,ENSG00000181773
ENSG00000241547,ENSG00000241547
ENSG00000224129,ENSG00000224129
ENSG00000234166,ENSG00000234166
ENSG00000237436,ENSG00000237436
ENSG00000174950,ENSG00000174950
ENSG00000235282,ENSG00000235282
ENSG00000055070,ENSG00000055070
ENSG00000175087,ENSG00000175087
ENSG00000171735,ENSG00000171735
ENSG00000157191,ENSG00000157191
ENSG00000284699,ENSG00000284699
ENSG00000229985,ENSG00000229985
ENSG00000230035,ENSG00000230035
ENSG00000235185,ENSG00000235185
ENSG00000236782,ENSG00000236782
ENSG00000116663,ENSG00000116663
ENSG00000225643,ENSG00000225643
ENSG00000284666,ENSG00000284666
ENSG00000243659,ENSG00000243659
ENSG00000228943,ENSG00000228943
ENSG00000232848,ENSG00000232848
ENSG00000234397,ENSG00000234397
ENSG00000284309,ENSG00000284309
ENSG00000269925,ENSG00000269925
ENSG00000162511,ENSG00000162511
ENSG00000158014,ENSG00000158014
ENSG00000204138,ENSG00000204138
ENSG00000233419,ENSG00000233419
ENSG00000235263,ENSG00000235263
ENSG00000228176,ENSG00000228176
ENSG00000231251,ENSG00000231251
ENSG00000142675,ENSG00000142675
ENSG00000197245,ENSG00000197245
ENSG00000261025,ENSG00000261025
ENSG00000116237,ENSG00000116237
ENSG00000158195,ENSG00000158195
ENSG00000130772,ENSG00000130772
ENSG00000215899,ENSG00000215899
ENSG00000237429,ENSG00000237429
ENSG00000271398,ENSG00000271398
ENSG00000225011,ENSG00000225011
ENSG00000240731,ENSG00000240731
ENSG00000235069,ENSG00000235069
ENSG00000284676,ENSG00000284676
ENSG00000237058,ENSG00000237058
ENSG00000233399,ENSG00000233399
ENSG00000090020,ENSG00000090020
ENSG00000225990,ENSG00000225990
ENSG00000157978,ENSG00000157978
ENSG00000226944,ENSG00000226944
ENSG00000270282,ENSG00000270282
ENSG00000130770,ENSG00000130770
ENSG00000235131,ENSG00000235131
ENSG00000229044,ENSG00000229044
ENSG00000162512,ENSG00000162512
ENSG00000179840,ENSG00000179840
ENSG00000272449,ENSG00000272449
ENSG00000214973,ENSG00000214973
ENSG00000158006,ENSG00000158006
ENSG00000214812,ENSG00000214812
ENSG00000142784,ENSG00000142784
ENSG00000227950,ENSG00000227950
ENSG00000126698,ENSG00000126698
ENSG00000229447,ENSG00000229447
ENSG00000229607,ENSG00000229607
ENSG00000229994,ENSG00000229994
ENSG00000130766,ENSG00000130766
ENSG00000168528,ENSG00000168528
ENSG00000196581,ENSG00000196581
ENSG00000169403,ENSG00000169403
ENSG00000117676,ENSG00000117676
ENSG00000225126,ENSG00000225126
ENSG00000084628,ENSG00000084628
ENSG00000060688,ENSG00000060688
ENSG00000171612,ENSG00000171612
ENSG00000241169,ENSG00000241169
ENSG00000270927,ENSG00000270927
ENSG00000188910,ENSG00000188910
ENSG00000230523,ENSG00000230523
ENSG00000116138,ENSG00000116138
ENSG00000231207,ENSG00000231207
ENSG00000142765,ENSG00000142765
ENSG00000158161,ENSG00000158161
ENSG00000270330,ENSG00000270330
ENSG00000142684,ENSG00000142684
ENSG00000234619,ENSG00000234619
ENSG00000121769,ENSG00000121769
ENSG00000157330,ENSG00000157330
ENSG00000142627,ENSG00000142627
ENSG00000284668,ENSG00000284668
ENSG00000233234,ENSG00000233234
ENSG00000142632,ENSG00000142632
ENSG00000234593,ENSG00000234593
ENSG00000162490,ENSG00000162490
ENSG00000158292,ENSG00000158292
ENSG00000270605,ENSG00000270605
ENSG00000238199,ENSG00000238199
ENSG00000142733,ENSG00000142733
ENSG00000189337,ENSG00000189337
ENSG00000270601,ENSG00000270601
ENSG00000233268,ENSG00000233268
ENSG00000232912,ENSG00000232912
ENSG00000235084,ENSG00000235084
ENSG00000235143,ENSG00000235143
ENSG00000225478,ENSG00000225478
ENSG00000225077,ENSG00000225077
ENSG00000028137,ENSG00000028137
ENSG00000223944,ENSG00000223944
ENSG00000238249,ENSG00000238249
ENSG00000227409,ENSG00000227409
ENSG00000204464,ENSG00000204464
ENSG00000233372,ENSG00000233372
ENSG00000283259,ENSG00000283259
ENSG00000142687,ENSG00000142687
ENSG00000284543,ENSG00000284543
ENSG00000226166,ENSG00000226166
ENSG00000130939,ENSG00000130939
ENSG00000175147,ENSG00000175147
ENSG00000236266,ENSG00000236266
ENSG00000127472,ENSG00000127472
ENSG00000231103,ENSG00000231103
ENSG00000060656,ENSG00000060656
ENSG00000163867,ENSG00000163867
ENSG00000232768,ENSG00000232768
ENSG00000230214,ENSG00000230214
ENSG00000189280,ENSG00000189280
ENSG00000134698,ENSG00000134698
ENSG00000134690,ENSG00000134690
ENSG00000272420,ENSG00000272420
ENSG00000224333,ENSG00000224333
ENSG00000132881,ENSG00000132881
ENSG00000273274,ENSG00000273274
ENSG00000116251,ENSG00000116251
ENSG00000272510,ENSG00000272510
ENSG00000158286,ENSG00000158286
ENSG00000236648,ENSG00000236648
ENSG00000232273,ENSG00000232273
ENSG00000009709,ENSG00000009709
ENSG00000287396,ENSG00000287396
ENSG00000179002,ENSG00000179002
