gene_id;gene_symbol;avg_len;count;rpkm;tpm
ENSG00000000003;TSPAN6;1989.8870000000002;2;0.1936401839511022;0.1411105435
ENSG00000000005;TNMD;801.5875;0;0.0;0.0
ENSG00000000419;DPM1;1362.5259375;26;3.415475202857143;4.026702
ENSG00000000457;SCYL3;3113.8900000000003;390;22.734577470390267;31.595126999999998
ENSG00000000460;C1orf112;2359.198888888889;102;7.853329605981736;10.669018862050002
ENSG00000000938;FGR;1650.2314285714288;12554;1381.596448088927;1501.8220126393
ENSG00000000971;CFH;2892.2179487179487;61;3.856972376549085;6.99835587597
ENSG00000001036;FUCA2;1184.0866666666668;15;2.2536620752948355;2.79755
ENSG00000001084;GCLC;1651.7303571428572;5;0.5703200760948532;0.405582
ENSG00000001167;NFYA;3862.59;0;0.0;0.0
ENSG00000001460;STPG1;1612.5870833333336;119;13.41443544191505;16.97548475418
ENSG00000001461;NIPAL3;2588.802857142857;818;57.39825354394696;45.717710000000004
ENSG00000001497;LAS1L;3897.3698000000004;44;2.053411967444372;4.11865
ENSG00000001561;ENPP4;4572.09;0;0.0;0.0
ENSG00000001617;SEMA3F;1625.1983333333333;0;0.0;0.0
ENSG00000001626;CFTR;2973.9302736842105;3;0.18320382933086327;1.7300332
ENSG00000001629;ANKIB1;1570.9435714285714;13;1.5028887764746663;2.1127190000000002
ENSG00000001630;CYP51A1;1586.4879999999998;133;15.273822848255447;10.6384
ENSG00000001631;KRIT1;3497.6611428571427;121;6.275287529267071;10.507190592599999
ENSG00000002016;RAD52;1307.3507894736842;12;1.5983523942441102;0.95843
ENSG00000002079;MYH16;1912.688;0;0.0;0.0
ENSG00000002330;BAD;567.8;0;0.0;0.0
ENSG00000002549;LAP3;1063.4504545454545;0;0.0;0.0
ENSG00000002586;CD99;742.6196666666667;0;0.0;0.0
ENSG00000002587;HS3ST1;2643.7533333333336;1;0.07159085383266958;0.0361433
ENSG00000002726;AOC1;1964.66;0;0.0;0.0
ENSG00000002745;WNT16;2118.09;0;0.0;0.0
ENSG00000002746;HECW1;2062.995909090909;0;0.0;0.0
ENSG00000002822;MAD1L1;900.3467391304349;2;0.4034263620318382;0.18743
ENSG00000002834;LASP1;2009.7555555555555;12;1.0482896273428994;1.58243
ENSG00000002919;SNX11;1154.5488461538462;4;0.6365094675125671;1.99306
ENSG00000002933;TMEM176A;970.1772727272728;1;0.18719445391333436;0.288157
ENSG00000003056;M6PR;901.3169230769231;0;0.0;0.0
ENSG00000003096;KLHL13;3040.089375;0;0.0;0.0
ENSG00000003137;CYP26B1;2738.688;0;0.0;0.0
ENSG00000003147;ICA1;1242.6665789473684;0;0.0;0.0
ENSG00000003249;DBNDD1;1955.8035714285713;0;0.0;0.0
ENSG00000003393;ALS2;5009.556333333334;31;1.1275887138269287;1.9052368999999998
ENSG00000003400;CASP10;1801.6889999999999;360;36.326009944676656;21.50702
ENSG00000003402;CFLAR;1677.17125;4511;488.49835630376225;90.30082399999999
ENSG00000003436;TFPI;1762.4204166666668;130;13.440328666260132;7.756168000000001
ENSG00000003509;NDUFAF7;1096.7788461538462;10;1.6907543954193431;1.39672
ENSG00000003756;RBM5;1020.3938461538462;8;1.3674201939026986;1.355501
ENSG00000003987;MTMR7;1207.7527777777777;0;0.0;0.0
ENSG00000003989;SLC7A2;5713.423333333333;0;0.0;0.0
ENSG00000004059;ARF5;709.0858333333332;20;5.12242090392846;10.3704
ENSG00000004139;SARM1;2276.71375;5;0.39892295250956605;0.120464
ENSG00000004142;POLDIP2;2025.0900000000001;0;0.0;0.0
ENSG00000004399;PLXND1;1170.0864705882354;0;0.0;0.0
ENSG00000004455;AK2;3169.5885416666665;3080;176.49171972823862;588.878755790924
ENSG00000004468;CD38;1908.288;44;4.18748082562047;3.48006
ENSG00000004478;FKBP4;806.710675;0;0.0;0.0
ENSG00000004487;KDM1A;3144.8675000000003;1726;99.6762375351142;140.9553256764222
ENSG00000004534;RBM6;1493.83725;3;0.31913667435082316;0.933872
ENSG00000004660;CAMKK1;3287.34;0;0.0;0.0
ENSG00000004700;RECQL;1256.21125;0;0.0;0.0
ENSG00000004766;VPS50;1634.563095238095;6;0.6234616477332134;0.755385
ENSG00000004776;HSPB6;839.42;0;0.0;0.0
ENSG00000004777;ARHGAP33;1503.42;0;0.0;0.0
ENSG00000004779;NDUFAB1;611.2850000000001;0;0.0;0.0
ENSG00000004799;PDK4;1412.087;0;0.0;0.0
ENSG00000004809;SLC22A16;1316.338125;0;0.0;0.0
ENSG00000004838;ZMYND10;969.9761111111111;0;0.0;0.0
ENSG00000004846;ABCB5;2405.255833333333;8;0.5962085331380457;0.7592254
ENSG00000004848;ARX;592.8863200000001;0;0.0;0.0
ENSG00000004864;SLC25A13;1105.46125;0;0.0;0.0
ENSG00000004866;ST7;1312.4089285714285;12;1.6605660093915664;7.14107
ENSG00000004897;CDC27;1260.4023684210526;0;0.0;0.0
ENSG00000004939;SLC4A1;2350.0875;6;0.4853290444597702;0.408086
ENSG00000004948;CALCR;2362.69;0;0.0;0.0
ENSG00000004961;HCCS;1791.0883333333334;0;0.0;0.0
ENSG00000004975;DVL2;988.353;22;4.0425395305571215;14.120687
ENSG00000005001;PRSS22;762.96125;0;0.0;0.0
ENSG00000005007;UPF1;2712.3232352941177;0;0.0;0.0
ENSG00000005020;SKAP2;905.4188888888889;57;11.352065547208474;3.69314
ENSG00000005022;SLC25A5;677.58625;0;0.0;0.0
ENSG00000005059;MCUB;1045.4879999999998;0;0.0;0.0
ENSG00000005073;HOXA11;2331.09;0;0.0;0.0
ENSG00000005075;POLR2J;865.085;0;0.0;0.0
ENSG00000005100;DHX33;2884.09;29;1.8281768463281127;1.30637
ENSG00000005102;MEOX1;1605.4233333333334;0;0.0;0.0
ENSG00000005108;THSD7A;3286.84;0;0.0;0.0
ENSG00000005156;LIG3;1537.5865625000001;17;2.0459050975558326;0.656136
ENSG00000005175;RPAP3;1468.6585714285716;8;1.0051304266969119;5.74031
ENSG00000005187;ACSM3;1000.753;0;0.0;0.0
ENSG00000005189;REXO5;1011.1386842105264;0;0.0;0.0
ENSG00000005194;CIAPIN1;989.8870000000001;0;0.0;0.0
ENSG00000005206;SPPL2B;1235.4442857142858;7;1.0331333232683881;0.838012
ENSG00000005238;FAM214B;2686.088888888889;0;0.0;0.0
ENSG00000005243;COPZ2;529.1850400000001;0;0.0;0.0
ENSG00000005249;PRKAR2B;1574.7533333333333;0;0.0;0.0
ENSG00000005302;MSL3;2221.8888;7;0.5721630323584013;1.80546
ENSG00000005339;CREBBP;1500.1866400000001;9;1.089535261363072;0.33141509999999996
ENSG00000005379;TSPOAP1;2606.996818181818;2;0.13932644911624428;0.120234
ENSG00000005381;MPO;1558.945;0;0.0;0.0
ENSG00000005421;PON1;1073.58625;0;0.0;0.0
ENSG00000005436;GCFC2;1829.450909090909;1;0.10324404347529383;0.0714918
ENSG00000005448;WDR54;956.58625;0;0.0;0.0
ENSG00000005469;CROT;1502.5164285714286;8;0.9669740779605789;0.681165
ENSG00000005471;ABCB4;2092.0883333333336;0;0.0;0.0
ENSG00000005483;KMT2E;2515.0884782608696;57;4.124162956060346;15.036570000000001
ENSG00000005486;RHBDD2;977.5316666666666;0;0.0;0.0
ENSG00000005513;SOX8;3548.09;0;0.0;0.0
ENSG00000005700;IBTK;4031.1895000000004;1;0.04505166645410986;0.100414
ENSG00000005801;ZNF195;1341.6346774193548;89;11.991565163196169;14.806474
ENSG00000005810;MYCBP2;7313.713448275862;39;0.9676007648887305;3.8072031657076
ENSG00000005812;FBXL3;1459.4208333333333;2;0.2941499298556156;0.187436
ENSG00000005844;ITGAL;1867.814090909091;195;18.983768489780733;20.584238
ENSG00000005882;PDK2;968.8359375;0;0.0;0.0
ENSG00000005884;ITGA3;1605.711875;10;1.1869239546869328;0.922179
ENSG00000005889;ZFX;3151.36;53;3.0331306575037043;1.7408327000000001
