gene_id;gene_symbol;avg_len;count;rpkm;tpm
ENSG00000000003;TSPAN6;1677.4882000000002;1;0.13277245136357388;0.0814295
ENSG00000000005;TNMD;868.5885;0;0.0;0.0
ENSG00000000419;DPM1;905.9223333333333;0;0.0;0.0
ENSG00000000457;SCYL3;3125.09;245;15.48743052726739;21.11403
ENSG00000000460;C1orf112;2358.199777777778;136;11.411223427943034;10.668625237319999
ENSG00000000938;FGR;1663.374857142857;10144;1203.3838202172933;1333.6888549100001
ENSG00000000971;CFH;2515.9223333333334;38;2.956833641296179;4.16171
ENSG00000001036;FUCA2;1174.4213333333335;8;1.344160503910419;1.800013
ENSG00000001084;GCLC;1791.0219333333334;12;1.3394317511913785;1.2957969999999999
ENSG00000001167;NFYA;2663.59;0;0.0;0.0
ENSG00000001460;STPG1;1611.6715833333335;103;12.610880593469416;12.233319
ENSG00000001461;NIPAL3;2065.8034285714284;753;71.88356569000514;48.00777000000001
ENSG00000001497;LAS1L;2475.6894;0;0.0;0.0
ENSG00000001561;ENPP4;4579.09;0;0.0;0.0
ENSG00000001617;SEMA3F;1646.8661111111112;0;0.0;0.0
ENSG00000001626;CFTR;1776.9770333333336;0;0.0;0.0
ENSG00000001629;ANKIB1;1533.945;16;2.1202395575690707;2.1262250000000003
ENSG00000001630;CYP51A1;1488.3385;150;19.942928994847513;12.8783
ENSG00000001631;KRIT1;1453.088;40;5.416938795223862;13.13433
ENSG00000002016;RAD52;1290.878052631579;0;0.0;0.0
ENSG00000002079;MYH16;1912.6888;0;0.0;0.0
ENSG00000002330;BAD;567.8017142857143;0;0.0;0.0
ENSG00000002549;LAP3;1063.8153636363636;1;0.1854892805153269;0.329621
ENSG00000002586;CD99;753.4211333333333;1;0.26190710304214093;0.222761
ENSG00000002587;HS3ST1;2934.0879999999997;2;0.13451146622454135;0.0675153
ENSG00000002726;AOC1;1970.374857142857;0;0.0;0.0
ENSG00000002745;WNT16;2116.59;0;0.0;0.0
ENSG00000002746;HECW1;2067.360818181818;2;0.18115444064390915;1.48626
ENSG00000002822;MAD1L1;901.3483913043477;0;0.0;0.0
